DateKey,Date,Fiscal Year,Fiscal Quarter,Month,MonthKey,Full Date
20190701,1561939200000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 01"
20190702,1562025600000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 02"
20190703,1562112000000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 03"
20190704,1562198400000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 04"
20190705,1562284800000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 05"
20190706,1562371200000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 06"
20190707,1562457600000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 07"
20190708,1562544000000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 08"
20190709,1562630400000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 09"
20190710,1562716800000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 10"
20190711,1562803200000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 11"
20190712,1562889600000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 12"
20190713,1562976000000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 13"
20190714,1563062400000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 14"
20190715,1563148800000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 15"
20190716,1563235200000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 16"
20190717,1563321600000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 17"
20190718,1563408000000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 18"
20190719,1563494400000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 19"
20190720,1563580800000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 20"
20190721,1563667200000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 21"
20190722,1563753600000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 22"
20190723,1563840000000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 23"
20190724,1563926400000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 24"
20190725,1564012800000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 25"
20190726,1564099200000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 26"
20190727,1564185600000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 27"
20190728,1564272000000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 28"
20190729,1564358400000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 29"
20190730,1564444800000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 30"
20190731,1564531200000,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 31"
20190801,1564617600000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 01"
20190802,1564704000000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 02"
20190803,1564790400000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 03"
20190804,1564876800000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 04"
20190805,1564963200000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 05"
20190806,1565049600000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 06"
20190807,1565136000000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 07"
20190808,1565222400000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 08"
20190809,1565308800000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 09"
20190810,1565395200000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 10"
20190811,1565481600000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 11"
20190812,1565568000000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 12"
20190813,1565654400000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 13"
20190814,1565740800000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 14"
20190815,1565827200000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 15"
20190816,1565913600000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 16"
20190817,1566000000000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 17"
20190818,1566086400000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 18"
20190819,1566172800000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 19"
20190820,1566259200000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 20"
20190821,1566345600000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 21"
20190822,1566432000000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 22"
20190823,1566518400000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 23"
20190824,1566604800000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 24"
20190825,1566691200000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 25"
20190826,1566777600000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 26"
20190827,1566864000000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 27"
20190828,1566950400000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 28"
20190829,1567036800000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 29"
20190830,1567123200000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 30"
20190831,1567209600000,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 31"
20190901,1567296000000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 01"
20190902,1567382400000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 02"
20190903,1567468800000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 03"
20190904,1567555200000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 04"
20190905,1567641600000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 05"
20190906,1567728000000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 06"
20190907,1567814400000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 07"
20190908,1567900800000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 08"
20190909,1567987200000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 09"
20190910,1568073600000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 10"
20190911,1568160000000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 11"
20190912,1568246400000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 12"
20190913,1568332800000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 13"
20190914,1568419200000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 14"
20190915,1568505600000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 15"
20190916,1568592000000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 16"
20190917,1568678400000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 17"
20190918,1568764800000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 18"
20190919,1568851200000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 19"
20190920,1568937600000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 20"
20190921,1569024000000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 21"
20190922,1569110400000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 22"
20190923,1569196800000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 23"
20190924,1569283200000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 24"
20190925,1569369600000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 25"
20190926,1569456000000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 26"
20190927,1569542400000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 27"
20190928,1569628800000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 28"
20190929,1569715200000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 29"
20190930,1569801600000,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 30"
20191001,1569888000000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 01"
20191002,1569974400000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 02"
20191003,1570060800000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 03"
20191004,1570147200000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 04"
20191005,1570233600000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 05"
20191006,1570320000000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 06"
20191007,1570406400000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 07"
20191008,1570492800000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 08"
20191009,1570579200000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 09"
20191010,1570665600000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 10"
20191011,1570752000000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 11"
20191012,1570838400000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 12"
20191013,1570924800000,FY2020,FY2020 Q2,2019 Oct,201910,"2019 Oct, 13"
